augs,1,2,5,10,20
r,49.23,50.69,50.19,50.69,50.68
g,34.35,35.71,36.19,36.39,36.85
flr,46.61,47.13,47.16,47.25,47.23
bra,42.28,44.49,44.31,44.6,44.99
cropandpad,51.01,52.39,54.23,54.95,55.16
"r,g",41.88,43.55,45.53,46.71,47.8
"r,flr",47.93,48.77,48.52,48.93,48.6
"r,bra",46.04,47.68,48.16,48.52,48.63
"r,cropandpad",50.27,51.85,52.89,52.57,52.8
"g,flr",40.88,40.99,43.15,44.21,44.91
"g,bra",39.24,39.75,41.71,42.59,42.99
"g,cropandpad",42.55,45.64,46.53,47.56,48.69
"flr,bra",44.2,45.92,45.91,45.8,45.56
"flr,cropandpad",49.0,50.45,50.91,50.41,50.63
"bra,cropandpad",48.05,48.52,49.65,49.75,50.64
"r,g,flr",43.27,45.53,45.92,47.07,47.25
"r,g,bra",41.07,44.55,45.48,46.53,46.48
"r,g,cropandpad",45.11,47.53,50.04,50.69,50.87
"r,flr,bra",46.51,47.73,47.97,47.81,48.0
"r,flr,cropandpad",49.12,50.09,50.57,50.25,50.4
"r,bra,cropandpad",47.88,49.23,50.45,50.91,50.83
"g,flr,bra",40.57,42.47,44.17,44.77,45.03
"g,flr,cropandpad",44.33,46.52,47.21,48.39,48.35
"g,bra,cropandpad",44.05,45.65,46.69,47.12,48.57
"flr,bra,cropandpad",45.37,47.85,48.85,49.01,48.33
"r,g,flr,bra",43.23,44.84,46.05,46.68,46.79
"r,g,flr,cropandpad",44.4,48.0,49.03,49.59,49.67
"r,g,bra,cropandpad",42.63,47.48,48.27,49.17,49.35
"r,flr,bra,cropandpad",47.01,49.49,49.21,49.61,48.92
"g,flr,bra,cropandpad",44.28,45.64,47.28,47.12,47.15
"r,g,flr,bra,cropandpad",46.31,47.25,48.21,48.21,48.33
