n,augs,epsilon,accuracy
1,none,0,0.9150666666666667
1,none,0.01,0.8373333333333334
1,none,0.05,0.7369333333333333
1,none,0.1,0.6697333333333333
1,none,0.2,0.5937333333333333
1,none,0.5,0.46853333333333336
1,none,1,0.3312
1,none,3,0.17586666666666667
2,none,0,0.9150666666666667
2,none,0.01,0.8373333333333334
2,none,0.05,0.7369333333333333
2,none,0.1,0.6697333333333333
2,none,0.2,0.5937333333333333
2,none,0.5,0.46853333333333336
2,none,1,0.3312
2,none,3,0.17586666666666667
5,none,0,0.9150666666666667
5,none,0.01,0.8373333333333334
5,none,0.05,0.7369333333333333
5,none,0.1,0.6697333333333333
5,none,0.2,0.5937333333333333
5,none,0.5,0.46853333333333336
5,none,1,0.3312
5,none,3,0.17586666666666667
10,none,0,0.9150666666666667
10,none,0.01,0.8373333333333334
10,none,0.05,0.7369333333333333
10,none,0.1,0.6697333333333333
10,none,0.2,0.5937333333333333
10,none,0.5,0.46853333333333336
10,none,1,0.3312
10,none,3,0.17586666666666667
1,g,0,0.778
1,g,0.01,0.7532
1,g,0.05,0.6918666666666666
1,g,0.1,0.6217333333333334
1,g,0.2,0.5568
1,g,0.5,0.4421333333333333
1,g,1,0.3237333333333333
1,g,3,0.1444
2,g,0,0.8256
2,g,0.01,0.8022666666666667
2,g,0.05,0.7286666666666667
2,g,0.1,0.6572
2,g,0.2,0.5902666666666667
2,g,0.5,0.4716
2,g,1,0.3333333333333333
2,g,3,0.14093333333333333
5,g,0,0.8550666666666666
5,g,0.01,0.8188
5,g,0.05,0.7473333333333333
5,g,0.1,0.6757333333333333
5,g,0.2,0.6081333333333333
5,g,0.5,0.48146666666666665
5,g,1,0.34253333333333336
5,g,3,0.1428
10,g,0,0.8676
10,g,0.01,0.8370666666666666
10,g,0.05,0.7558666666666667
10,g,0.1,0.6822666666666667
10,g,0.2,0.6118666666666667
10,g,0.5,0.4842666666666667
10,g,1,0.34373333333333334
10,g,3,0.1412
1,r,0,0.9009333333333334
1,r,0.01,0.856
1,r,0.05,0.7738666666666667
1,r,0.1,0.7050666666666666
1,r,0.2,0.6312
1,r,0.5,0.4965333333333333
1,r,1,0.33493333333333336
1,r,3,0.13906666666666667
2,r,0,0.9076
2,r,0.01,0.8622666666666666
2,r,0.05,0.7818666666666667
2,r,0.1,0.7097333333333333
2,r,0.2,0.6392
2,r,0.5,0.5129333333333334
2,r,1,0.37093333333333334
2,r,3,0.14626666666666666
5,r,0,0.9077333333333333
5,r,0.01,0.8648
5,r,0.05,0.7801333333333333
5,r,0.1,0.7094666666666667
5,r,0.2,0.6398666666666667
5,r,0.5,0.5214666666666666
5,r,1,0.3758666666666667
5,r,3,0.15093333333333334
10,r,0,0.9114666666666666
10,r,0.01,0.8648
10,r,0.05,0.7822666666666667
10,r,0.1,0.7101333333333333
10,r,0.2,0.6429333333333334
10,r,0.5,0.5294666666666666
10,r,1,0.3877333333333333
10,r,3,0.15653333333333333
1,flr,0,0.9134666666666666
1,flr,0.01,0.8590666666666666
1,flr,0.05,0.7714666666666666
