,augments,n,epsilon,accuracy,ece,figure
0,none,2,0.0,0.9450666666666667,tensor(0.0386),Figure(324x288)
1,none,2,0.1,0.5365333333333333,tensor(0.4097),Figure(324x288)
2,none,2,0.2,0.41946666666666665,tensor(0.5047),Figure(324x288)
3,none,2,0.3,0.32226666666666665,tensor(0.5785),Figure(324x288)
4,none,5,0.0,0.9450666666666667,tensor(0.0386),Figure(324x288)
5,none,5,0.1,0.5365333333333333,tensor(0.4097),Figure(324x288)
6,none,5,0.2,0.41946666666666665,tensor(0.5047),Figure(324x288)
7,none,5,0.3,0.32226666666666665,tensor(0.5785),Figure(324x288)
8,none,10,0.0,0.9450666666666667,tensor(0.0386),Figure(324x288)
9,none,10,0.1,0.5365333333333333,tensor(0.4097),Figure(324x288)
10,none,10,0.2,0.41946666666666665,tensor(0.5047),Figure(324x288)
11,none,10,0.3,0.32226666666666665,tensor(0.5785),Figure(324x288)
12,none,20,0.0,0.9450666666666667,tensor(0.0386),Figure(324x288)
13,none,20,0.1,0.5365333333333333,tensor(0.4097),Figure(324x288)
14,none,20,0.2,0.41946666666666665,tensor(0.5047),Figure(324x288)
15,none,20,0.3,0.32226666666666665,tensor(0.5785),Figure(324x288)
16,none,40,0.0,0.9450666666666667,tensor(0.0386),Figure(324x288)
17,none,40,0.1,0.5365333333333333,tensor(0.4097),Figure(324x288)
18,none,40,0.2,0.41946666666666665,tensor(0.5047),Figure(324x288)
19,none,40,0.3,0.32226666666666665,tensor(0.5785),Figure(324x288)
20,g,2,0.0,0.7449333333333333,tensor(0.2539),Figure(324x288)
21,g,2,0.1,0.4710666666666667,tensor(0.3339),Figure(324x288)
22,g,2,0.2,0.34786666666666666,tensor(0.4063),Figure(324x288)
23,g,2,0.3,0.25466666666666665,tensor(0.5039),Figure(324x288)
24,g,5,0.0,0.7645333333333333,tensor(0.2536),Figure(324x288)
25,g,5,0.1,0.48586666666666667,tensor(0.2114),Figure(324x288)
26,g,5,0.2,0.35506666666666664,tensor(0.2715),Figure(324x288)
27,g,5,0.3,0.258,tensor(0.3895),Figure(324x288)
28,g,10,0.0,0.7766666666666666,tensor(0.2889),Figure(324x288)
29,g,10,0.1,0.4916,tensor(0.2055),Figure(324x288)
30,g,10,0.2,0.35613333333333336,tensor(0.2384),Figure(324x288)
31,g,10,0.3,0.2538666666666667,tensor(0.3628),Figure(324x288)
32,g,20,0.0,0.7922666666666667,tensor(0.3206),Figure(324x288)
33,g,20,0.1,0.5022666666666666,tensor(0.2064),Figure(324x288)
34,g,20,0.2,0.358,tensor(0.2337),Figure(324x288)
35,g,20,0.3,0.25666666666666665,tensor(0.3478),Figure(324x288)
36,g,40,0.0,0.7948,tensor(0.3325),Figure(324x288)
37,g,40,0.1,0.5085333333333333,tensor(0.2167),Figure(324x288)
38,g,40,0.2,0.36013333333333336,tensor(0.2301),Figure(324x288)
39,g,40,0.3,0.2576,tensor(0.3355),Figure(324x288)
40,r,2,0.0,0.9266666666666666,tensor(0.0406),Figure(324x288)
41,r,2,0.1,0.6141333333333333,tensor(0.3068),Figure(324x288)
42,r,2,0.2,0.5008,tensor(0.3846),Figure(324x288)
43,r,2,0.3,0.41786666666666666,tensor(0.4286),Figure(324x288)
44,r,5,0.0,0.9304,tensor(0.0402),Figure(324x288)
45,r,5,0.1,0.6174666666666667,tensor(0.2726),Figure(324x288)
46,r,5,0.2,0.5016,tensor(0.3451),Figure(324x288)
47,r,5,0.3,0.4244,tensor(0.3756),Figure(324x288)
48,r,10,0.0,0.9324,tensor(0.0365),Figure(324x288)
49,r,10,0.1,0.62,tensor(0.2663),Figure(324x288)
50,r,10,0.2,0.5034666666666666,tensor(0.3334),Figure(324x288)
51,r,10,0.3,0.42213333333333336,tensor(0.3524),Figure(324x288)
52,r,20,0.0,0.9337333333333333,tensor(0.0340),Figure(324x288)
53,r,20,0.1,0.6173333333333333,tensor(0.2575),Figure(324x288)
54,r,20,0.2,0.5013333333333333,tensor(0.3237),Figure(324x288)
55,r,20,0.3,0.42573333333333335,tensor(0.3408),Figure(324x288)
56,r,40,0.0,0.9345333333333333,tensor(0.0357),Figure(324x288)
57,r,40,0.1,0.6196,tensor(0.2610),Figure(324x288)
58,r,40,0.2,0.5033333333333333,tensor(0.3267),Figure(324x288)
59,r,40,0.3,0.4236,tensor(0.3375),Figure(324x288)
60,flr,2,0.0,0.9458666666666666,tensor(0.0355),Figure(324x288)
61,flr,2,0.1,0.5806666666666667,tensor(0.3471),Figure(324x288)
62,flr,2,0.2,0.462,tensor(0.4329),Figure(324x288)
63,flr,2,0.3,0.35213333333333335,tensor(0.5137),Figure(324x288)
64,flr,5,0.0,0.9461333333333334,tensor(0.0294),Figure(324x288)
65,flr,5,0.1,0.582,tensor(0.3276),Figure(324x288)
66,flr,5,0.2,0.46386666666666665,tensor(0.4055),Figure(324x288)
67,flr,5,0.3,0.356,tensor(0.4769),Figure(324x288)
68,flr,10,0.0,0.9473333333333334,tensor(0.0300),Figure(324x288)
69,flr,10,0.1,0.5856,tensor(0.3234),Figure(324x288)
70,flr,10,0.2,0.4604,tensor(0.3972),Figure(324x288)
71,flr,10,0.3,0.35546666666666665,tensor(0.4677),Figure(324x288)
72,flr,20,0.0,0.9472,tensor(0.0284),Figure(324x288)
73,flr,20,0.1,0.5841333333333333,tensor(0.3229),Figure(324x288)
